Inspector_ID,QC_Department,Inspection_Type_Order,Quality_Target,Workstation_Assignment,Shift_Time,Urgency_Level
QC2000,QC Inspector - Trim QC,Batch-430 | Seam Quality Check (Order: 30146),Defect Rate < 4%,Fabric Testing FT-08,10:00-19:00,Priority
QC2001,Senior QC - Packing QC,Batch-638 | Measurement Check (Order: 51662),Inspection Quota 97 pieces,Inspection Booth IB-13,10:00-19:00,Priority
QC2002,QC Supervisor - Final QC,Batch-513 | Trim Quality Check (Order: 80390),Defect Rate < 1.5%,Light Box LB-15,15:00-23:00,Standard
QC2003,Senior QC - Pre-Production QC,Batch-400 | Label Verification (Order: 57290),Inspection Quota 185 pieces,Photo Studio PS-09,07:00-15:00,Urgent
QC2004,Senior QC - Inline QC,Batch-757 | Final Audit (Order: 41502),Inspection Quota 60 pieces,Wash Test WT-07,07:00-15:00,Priority
QC2005,Senior QC - Trim QC,Batch-125 | Trim Quality Check (Order: 47070),Accuracy Target 96%,Photo Studio PS-08,07:00-15:00,Standard
QC2006,QC Inspector - Fabric QC,Batch-184 | Label Verification (Order: 77357),Defect Rate < 3%,QC Table QT-11,07:00-15:00,Urgent
QC2007,QC Inspector - Final QC,Batch-534 | Fit Check (Order: 99837),Defect Rate < 3%,Audit Station AS-11,07:00-15:00,Urgent
QC2008,QC Inspector - Pre-Production QC,Batch-834 | Seam Quality Check (Order: 70191),Accuracy Target 95%,Inspection Booth IB-02,07:00-15:00,Urgent
QC2009,Senior QC - Final QC,Batch-688 | Trim Quality Check (Order: 19232),Inspection Quota 116 pieces,Audit Station AS-07,09:00-18:00,Priority
QC2010,QC Supervisor - Pre-Production QC,Batch-117 | Packaging Inspection (Order: 51471),Throughput Target 63 pieces/hour,Inspection Booth IB-09,07:00-15:00,Priority
QC2011,QC Manager - Pre-Production QC,Batch-146 | Measurement Check (Order: 86756),Defect Rate < 1.5%,Inspection Booth IB-05,08:00-17:00,Standard
QC2012,QC Trainee - Packing QC,Batch-490 | Button/Zipper Function (Order: 67367),Throughput Target 72 pieces/hour,QC Table QT-08,15:00-23:00,Urgent
QC2013,QC Inspector - Packing QC,Batch-915 | Color Matching (Order: 61248),Accuracy Target 98%,Fabric Testing FT-11,08:00-17:00,Urgent
QC2014,QC Manager - Inline QC,Batch-244 | Fit Check (Order: 82754),Defect Rate < 2%,QC Table QT-10,10:00-19:00,Routine
QC2015,QC Manager - Trim QC,Batch-412 | Trim Quality Check (Order: 21157),Inspection Quota 138 pieces,Light Box LB-07,10:00-19:00,Routine
QC2016,QC Inspector - Final QC,Batch-731 | Color Matching (Order: 38939),Accuracy Target 98%,Inspection Booth IB-03,10:00-19:00,Standard
QC2017,QC Trainee - AQL Inspection,Batch-572 | Fit Check (Order: 81939),Defect Rate < 1.5%,Inspection Booth IB-05,07:00-15:00,Urgent
QC2018,QC Manager - Final QC,Batch-465 | Final Audit (Order: 53365),Inspection Quota 110 pieces,Inspection Booth IB-05,10:00-19:00,Critical
QC2019,QC Inspector - Inline QC,Batch-561 | Label Verification (Order: 73682),Accuracy Target 96%,Fabric Testing FT-12,10:00-19:00,Standard
QC2020,QC Manager - Final QC,Batch-927 | Embroidery Quality (Order: 57774),Accuracy Target 97%,Measurement Station MS-01,08:00-17:00,Priority
QC2021,QC Inspector - Final QC,Batch-546 | Washing Test (Order: 93995),Accuracy Target 99%,Measurement Station MS-11,08:00-17:00,Standard
QC2022,QC Supervisor - Trim QC,Batch-893 | Final Audit (Order: 57020),Accuracy Target 97%,Inspection Booth IB-03,10:00-19:00,Critical
QC2023,Senior QC - Inline QC,Batch-651 | Fit Check (Order: 28350),Inspection Quota 117 pieces,Inspection Booth IB-12,07:00-15:00,Urgent
QC2024,QC Manager - Inline QC,Batch-932 | Print Quality Check (Order: 14088),Throughput Target 69 pieces/hour,Light Box LB-15,07:00-15:00,Urgent
QC2025,Senior QC - Packing QC,Batch-583 | Trim Quality Check (Order: 80736),Inspection Quota 143 pieces,Audit Station AS-04,10:00-19:00,Standard
QC2026,Senior QC - Pre-Production QC,Batch-613 | Color Matching (Order: 70909),Defect Rate < 2.5%,Wash Test WT-09,07:00-15:00,Standard
QC2027,QC Inspector - Pre-Production QC,Batch-800 | Fit Check (Order: 90482),Inspection Quota 181 pieces,Measurement Station MS-08,15:00-23:00,Standard
QC2028,QC Manager - Final QC,Batch-993 | Embroidery Quality (Order: 96430),Inspection Quota 173 pieces,Wash Test WT-01,15:00-23:00,Routine
QC2029,QC Supervisor - AQL Inspection,Batch-370 | Fabric Defect Check (Order: 18239),Accuracy Target 98%,QC Table QT-11,15:00-23:00,Urgent
QC2030,Senior QC - Packing QC,Batch-565 | Packaging Inspection (Order: 71561),Defect Rate < 2%,Wash Test WT-02,10:00-19:00,Urgent
QC2031,Senior QC - Pre-Production QC,Batch-692 | Fit Check (Order: 44513),Inspection Quota 146 pieces,Audit Station AS-06,10:00-19:00,Critical
QC2032,QC Trainee - Pre-Production QC,Batch-485 | Trim Quality Check (Order: 42975),Inspection Quota 182 pieces,Audit Station AS-06,08:00-17:00,Critical
QC2033,QC Supervisor - Trim QC,Batch-106 | Appearance Check (Order: 89195),Inspection Quota 162 pieces,Measurement Station MS-04,07:00-15:00,Priority
QC2034,Senior QC - Packing QC,Batch-291 | Fabric Defect Check (Order: 29692),Inspection Quota 142 pieces,Inspection Booth IB-11,15:00-23:00,Priority
QC2035,Senior QC - Trim QC,Batch-593 | Washing Test (Order: 24855),Throughput Target 50 pieces/hour,Light Box LB-10,15:00-23:00,Urgent
QC2036,QC Supervisor - Pre-Production QC,Batch-144 | Seam Quality Check (Order: 41938),Inspection Quota 196 pieces,Measurement Station MS-03,10:00-19:00,Urgent
QC2037,QC Manager - Inline QC,Batch-270 | Color Matching (Order: 17328),Accuracy Target 98%,Audit Station AS-10,10:00-19:00,Standard
QC2038,QC Trainee - Pre-Production QC,Batch-941 | Appearance Check (Order: 96736),Accuracy Target 95%,Light Box LB-08,10:00-19:00,Standard
QC2039,QC Supervisor - Trim QC,Batch-950 | Color Matching (Order: 38752),Throughput Target 58 pieces/hour,Measurement Station MS-13,10:00-19:00,Routine
QC2040,QC Inspector - AQL Inspection,Batch-623 | Embroidery Quality (Order: 96461),Accuracy Target 98%,Wash Test WT-15,09:00-18:00,Critical
QC2041,QC Manager - Packing QC,Batch-487 | Measurement Check (Order: 40122),Throughput Target 28 pieces/hour,Inspection Booth IB-01,15:00-23:00,Priority
QC2042,QC Manager - Packing QC,Batch-946 | Print Quality Check (Order: 65023),Inspection Quota 74 pieces,Measurement Station MS-08,10:00-19:00,Standard
QC2043,QC Trainee - Packing QC,Batch-615 | Appearance Check (Order: 79655),Defect Rate < 2%,Photo Studio PS-11,15:00-23:00,Priority
QC2044,QC Manager - Packing QC,Batch-893 | Fit Check (Order: 10157),Throughput Target 53 pieces/hour,Audit Station AS-06,07:00-15:00,Priority
QC2045,QC Manager - Pre-Production QC,Batch-921 | Packaging Inspection (Order: 40079),Throughput Target 70 pieces/hour,Audit Station AS-06,10:00-19:00,Standard
QC2046,QC Manager - AQL Inspection,Batch-237 | Measurement Check (Order: 65769),Accuracy Target 97%,Light Box LB-15,07:00-15:00,Routine
QC2047,QC Manager - Fabric QC,Batch-518 | Appearance Check (Order: 81267),Accuracy Target 98%,QC Table QT-12,07:00-15:00,Priority
QC2048,QC Manager - Packing QC,Batch-107 | Measurement Check (Order: 78126),Throughput Target 61 pieces/hour,Light Box LB-12,08:00-17:00,Priority
QC2049,Senior QC - Trim QC,Batch-536 | Measurement Check (Order: 30287),Accuracy Target 99%,Audit Station AS-10,08:00-17:00,Priority
QC2050,Senior QC - Packing QC,Batch-873 | Print Quality Check (Order: 62095),Inspection Quota 155 pieces,Photo Studio PS-03,08:00-17:00,Priority
QC2051,QC Manager - Packing QC,Batch-414 | Final Audit (Order: 43263),Accuracy Target 97%,Measurement Station MS-14,07:00-15:00,Urgent
QC2052,QC Inspector - Pre-Production QC,Batch-202 | Final Audit (Order: 31206),Inspection Quota 180 pieces,Audit Station AS-13,08:00-17:00,Priority
QC2053,QC Manager - AQL Inspection,Batch-823 | Embroidery Quality (Order: 99727),Defect Rate < 3%,Audit Station AS-11,07:00-15:00,Priority
QC2054,QC Trainee - AQL Inspection,Batch-582 | Fit Check (Order: 29048),Throughput Target 25 pieces/hour,Inspection Booth IB-05,15:00-23:00,Urgent
QC2055,QC Trainee - Fabric QC,Batch-841 | Embroidery Quality (Order: 14948),Throughput Target 79 pieces/hour,Audit Station AS-10,10:00-19:00,Standard
QC2056,QC Manager - Fabric QC,Batch-755 | Seam Quality Check (Order: 32973),Throughput Target 48 pieces/hour,QC Table QT-04,10:00-19:00,Routine
QC2057,QC Inspector - Fabric QC,Batch-622 | Seam Quality Check (Order: 88579),Inspection Quota 93 pieces,QC Table QT-06,15:00-23:00,Routine
QC2058,QC Trainee - Pre-Production QC,Batch-382 | Color Matching (Order: 21382),Throughput Target 42 pieces/hour,Audit Station AS-07,10:00-19:00,Priority
QC2059,QC Manager - Final QC,Batch-192 | Seam Quality Check (Order: 18993),Accuracy Target 96%,Wash Test WT-06,08:00-17:00,Priority
QC2060,QC Manager - Final QC,Batch-513 | Fabric Defect Check (Order: 69606),Defect Rate < 1.5%,Measurement Station MS-07,10:00-19:00,Priority
QC2061,QC Manager - Inline QC,Batch-401 | Measurement Check (Order: 75951),Accuracy Target 95%,Fabric Testing FT-15,10:00-19:00,Standard
QC2062,QC Manager - AQL Inspection,Batch-486 | Button/Zipper Function (Order: 68034),Throughput Target 69 pieces/hour,Light Box LB-13,08:00-17:00,Routine
QC2063,QC Supervisor - AQL Inspection,Batch-700 | Print Quality Check (Order: 70387),Defect Rate < 2.5%,Inspection Booth IB-05,07:00-15:00,Routine
QC2064,QC Inspector - Trim QC,Batch-919 | Print Quality Check (Order: 40137),Accuracy Target 97%,Wash Test WT-09,10:00-19:00,Standard
QC2065,Senior QC - Inline QC,Batch-195 | Fabric Defect Check (Order: 47655),Throughput Target 63 pieces/hour,Wash Test WT-02,10:00-19:00,Priority
QC2066,QC Supervisor - Final QC,Batch-323 | Label Verification (Order: 56338),Accuracy Target 98%,Light Box LB-08,15:00-23:00,Standard
QC2067,QC Inspector - Final QC,Batch-311 | Fit Check (Order: 44787),Inspection Quota 101 pieces,Light Box LB-14,10:00-19:00,Standard
QC2068,QC Inspector - Fabric QC,Batch-222 | Durability Test (Order: 23983),Defect Rate < 2.5%,QC Table QT-13,10:00-19:00,Urgent
QC2069,QC Supervisor - Inline QC,Batch-422 | Label Verification (Order: 91352),Throughput Target 77 pieces/hour,Fabric Testing FT-08,15:00-23:00,Standard
QC2070,QC Manager - AQL Inspection,Batch-327 | Button/Zipper Function (Order: 62150),Inspection Quota 63 pieces,Audit Station AS-08,10:00-19:00,Priority
QC2071,QC Manager - Inline QC,Batch-981 | Label Verification (Order: 61605),Inspection Quota 167 pieces,Inspection Booth IB-12,10:00-19:00,Priority
QC2072,Senior QC - Trim QC,Batch-112 | Washing Test (Order: 11103),Inspection Quota 147 pieces,Inspection Booth IB-06,08:00-17:00,Standard
QC2073,Senior QC - Packing QC,Batch-369 | Color Matching (Order: 81901),Inspection Quota 118 pieces,Photo Studio PS-10,08:00-17:00,Priority
QC2074,QC Inspector - Fabric QC,Batch-315 | Final Audit (Order: 65567),Throughput Target 64 pieces/hour,Wash Test WT-06,09:00-18:00,Urgent
QC2075,QC Supervisor - Fabric QC,Batch-234 | Color Matching (Order: 84895),Inspection Quota 75 pieces,Fabric Testing FT-13,15:00-23:00,Urgent
QC2076,QC Supervisor - Packing QC,Batch-300 | Fit Check (Order: 59923),Inspection Quota 88 pieces,Photo Studio PS-13,07:00-15:00,Routine
QC2077,QC Supervisor - Final QC,Batch-969 | Final Audit (Order: 27625),Accuracy Target 97%,Fabric Testing FT-05,10:00-19:00,Urgent
QC2078,QC Manager - AQL Inspection,Batch-201 | Seam Quality Check (Order: 62219),Inspection Quota 65 pieces,Light Box LB-14,08:00-17:00,Standard
QC2079,QC Trainee - Trim QC,Batch-366 | Final Audit (Order: 53864),Accuracy Target 99%,Fabric Testing FT-06,07:00-15:00,Standard
QC2080,QC Trainee - Trim QC,Batch-720 | Label Verification (Order: 99074),Inspection Quota 197 pieces,Measurement Station MS-13,08:00-17:00,Standard
QC2081,Senior QC - Fabric QC,Batch-599 | Print Quality Check (Order: 76904),Throughput Target 76 pieces/hour,Inspection Booth IB-07,10:00-19:00,Critical
QC2082,QC Supervisor - Fabric QC,Batch-989 | Print Quality Check (Order: 28985),Inspection Quota 136 pieces,Audit Station AS-11,10:00-19:00,Standard
QC2083,QC Supervisor - Packing QC,Batch-181 | Fit Check (Order: 19351),Inspection Quota 137 pieces,Light Box LB-06,08:00-17:00,Standard
QC2084,Senior QC - Pre-Production QC,Batch-719 | Washing Test (Order: 45058),Throughput Target 37 pieces/hour,Photo Studio PS-13,08:00-17:00,Priority
QC2085,QC Manager - Pre-Production QC,Batch-523 | Trim Quality Check (Order: 69020),Inspection Quota 97 pieces,QC Table QT-03,15:00-23:00,Standard
QC2086,Senior QC - Pre-Production QC,Batch-315 | Washing Test (Order: 20494),Inspection Quota 151 pieces,Inspection Booth IB-02,07:00-15:00,Routine
QC2087,QC Manager - Trim QC,Batch-889 | Seam Quality Check (Order: 13455),Throughput Target 53 pieces/hour,Inspection Booth IB-02,08:00-17:00,Routine
QC2088,QC Inspector - Packing QC,Batch-499 | Measurement Check (Order: 95830),Accuracy Target 98%,Light Box LB-12,08:00-17:00,Routine
QC2089,QC Inspector - Trim QC,Batch-958 | Color Matching (Order: 79041),Inspection Quota 57 pieces,QC Table QT-11,08:00-17:00,Standard
QC2090,Senior QC - AQL Inspection,Batch-578 | Fit Check (Order: 72410),Accuracy Target 96%,Photo Studio PS-03,10:00-19:00,Routine
QC2091,QC Manager - Final QC,Batch-746 | Embroidery Quality (Order: 69840),Throughput Target 53 pieces/hour,Fabric Testing FT-15,08:00-17:00,Priority
QC2092,QC Manager - Trim QC,Batch-552 | Fabric Defect Check (Order: 21738),Accuracy Target 99%,Audit Station AS-05,15:00-23:00,Standard
QC2093,QC Trainee - Fabric QC,Batch-934 | Seam Quality Check (Order: 78592),Inspection Quota 138 pieces,Fabric Testing FT-08,10:00-19:00,Standard
QC2094,QC Supervisor - Inline QC,Batch-406 | Durability Test (Order: 72530),Defect Rate < 2.5%,Fabric Testing FT-10,15:00-23:00,Urgent
QC2095,QC Trainee - AQL Inspection,Batch-293 | Trim Quality Check (Order: 58974),Throughput Target 76 pieces/hour,Audit Station AS-07,15:00-23:00,Standard
QC2096,QC Supervisor - Final QC,Batch-325 | Fit Check (Order: 59592),Accuracy Target 95%,Audit Station AS-11,15:00-23:00,Priority
QC2097,QC Manager - Packing QC,Batch-378 | Durability Test (Order: 99737),Accuracy Target 96%,Fabric Testing FT-07,15:00-23:00,Standard
QC2098,QC Trainee - AQL Inspection,Batch-396 | Color Matching (Order: 27907),Defect Rate < 2.5%,Photo Studio PS-05,10:00-19:00,Standard
QC2099,QC Inspector - Trim QC,Batch-255 | Label Verification (Order: 12542),Defect Rate < 4%,QC Table QT-03,07:00-15:00,Routine
QC2100,Senior QC - Fabric QC,Batch-844 | Color Matching (Order: 67464),Defect Rate < 3%,Inspection Booth IB-03,07:00-15:00,Standard
QC2101,QC Inspector - Trim QC,Batch-419 | Label Verification (Order: 65082),Throughput Target 43 pieces/hour,Photo Studio PS-12,07:00-15:00,Standard
QC2102,QC Trainee - Fabric QC,Batch-157 | Fit Check (Order: 29148),Accuracy Target 97%,Inspection Booth IB-09,09:00-18:00,Standard
QC2103,QC Inspector - Final QC,Batch-936 | Appearance Check (Order: 42778),Throughput Target 73 pieces/hour,QC Table QT-02,15:00-23:00,Routine
QC2104,QC Supervisor - Trim QC,Batch-303 | Fabric Defect Check (Order: 14392),Throughput Target 67 pieces/hour,Inspection Booth IB-09,15:00-23:00,Routine
QC2105,QC Supervisor - Trim QC,Batch-430 | Print Quality Check (Order: 50908),Inspection Quota 60 pieces,Inspection Booth IB-05,09:00-18:00,Standard
QC2106,Senior QC - Pre-Production QC,Batch-153 | Fabric Defect Check (Order: 57241),Inspection Quota 78 pieces,Light Box LB-11,09:00-18:00,Standard
QC2107,QC Trainee - Fabric QC,Batch-698 | Color Matching (Order: 46188),Defect Rate < 2.5%,Light Box LB-01,07:00-15:00,Standard
QC2108,QC Supervisor - Packing QC,Batch-258 | Washing Test (Order: 88146),Accuracy Target 95%,Light Box LB-03,09:00-18:00,Priority
QC2109,QC Manager - Inline QC,Batch-161 | Label Verification (Order: 91937),Defect Rate < 1.5%,Measurement Station MS-12,10:00-19:00,Priority
QC2110,QC Trainee - AQL Inspection,Batch-338 | Color Matching (Order: 73942),Accuracy Target 96%,Wash Test WT-13,09:00-18:00,Routine
QC2111,QC Inspector - Pre-Production QC,Batch-466 | Seam Quality Check (Order: 59514),Inspection Quota 114 pieces,QC Table QT-08,09:00-18:00,Priority
QC2112,Senior QC - Packing QC,Batch-294 | Trim Quality Check (Order: 74237),Inspection Quota 189 pieces,Wash Test WT-06,09:00-18:00,Priority
QC2113,QC Manager - Fabric QC,Batch-264 | Appearance Check (Order: 82682),Defect Rate < 4%,Measurement Station MS-08,08:00-17:00,Routine
QC2114,Senior QC - AQL Inspection,Batch-564 | Trim Quality Check (Order: 58118),Defect Rate < 4%,Audit Station AS-12,15:00-23:00,Urgent
QC2115,QC Manager - Inline QC,Batch-894 | Fit Check (Order: 57720),Inspection Quota 132 pieces,Inspection Booth IB-11,10:00-19:00,Urgent
QC2116,QC Supervisor - AQL Inspection,Batch-799 | Fabric Defect Check (Order: 78690),Throughput Target 69 pieces/hour,Measurement Station MS-10,08:00-17:00,Routine
QC2117,QC Supervisor - Fabric QC,Batch-213 | Print Quality Check (Order: 52208),Defect Rate < 4%,Inspection Booth IB-01,15:00-23:00,Standard
QC2118,QC Trainee - Final QC,Batch-597 | Fabric Defect Check (Order: 24031),Inspection Quota 75 pieces,QC Table QT-10,09:00-18:00,Urgent
QC2119,QC Supervisor - Pre-Production QC,Batch-818 | Trim Quality Check (Order: 91785),Accuracy Target 95%,Wash Test WT-04,10:00-19:00,Priority
QC2120,QC Trainee - Pre-Production QC,Batch-771 | Seam Quality Check (Order: 37359),Throughput Target 79 pieces/hour,Inspection Booth IB-08,07:00-15:00,Standard
QC2121,QC Manager - Fabric QC,Batch-941 | Washing Test (Order: 64519),Accuracy Target 95%,Fabric Testing FT-09,07:00-15:00,Standard
QC2122,QC Trainee - Pre-Production QC,Batch-179 | Fit Check (Order: 49833),Inspection Quota 182 pieces,Inspection Booth IB-02,15:00-23:00,Standard
QC2123,QC Supervisor - Packing QC,Batch-638 | Fabric Defect Check (Order: 35312),Inspection Quota 195 pieces,Measurement Station MS-09,10:00-19:00,Standard
QC2124,QC Trainee - Trim QC,Batch-690 | Durability Test (Order: 93705),Accuracy Target 97%,Audit Station AS-15,07:00-15:00,Priority
QC2125,QC Inspector - Final QC,Batch-616 | Trim Quality Check (Order: 62632),Accuracy Target 98%,Photo Studio PS-15,08:00-17:00,Standard
QC2126,QC Manager - Fabric QC,Batch-522 | Label Verification (Order: 58722),Throughput Target 72 pieces/hour,Wash Test WT-10,15:00-23:00,Standard
QC2127,QC Manager - Packing QC,Batch-884 | Fabric Defect Check (Order: 59160),Accuracy Target 99%,Photo Studio PS-08,09:00-18:00,Priority
QC2128,QC Trainee - Inline QC,Batch-116 | Button/Zipper Function (Order: 88087),Inspection Quota 127 pieces,QC Table QT-05,15:00-23:00,Routine
QC2129,Senior QC - Final QC,Batch-666 | Seam Quality Check (Order: 46170),Inspection Quota 74 pieces,QC Table QT-08,08:00-17:00,Standard
QC2130,QC Inspector - Final QC,Batch-696 | Button/Zipper Function (Order: 58114),Inspection Quota 109 pieces,Fabric Testing FT-13,08:00-17:00,Priority
QC2131,QC Manager - Inline QC,Batch-322 | Packaging Inspection (Order: 84588),Defect Rate < 1.5%,Photo Studio PS-03,09:00-18:00,Urgent
QC2132,QC Manager - AQL Inspection,Batch-709 | Fit Check (Order: 22499),Accuracy Target 95%,Audit Station AS-02,07:00-15:00,Priority
QC2133,Senior QC - AQL Inspection,Batch-526 | Label Verification (Order: 66925),Defect Rate < 3%,QC Table QT-11,09:00-18:00,Priority
QC2134,Senior QC - Inline QC,Batch-426 | Trim Quality Check (Order: 15397),Inspection Quota 133 pieces,Light Box LB-03,07:00-15:00,Routine
QC2135,QC Supervisor - Pre-Production QC,Batch-689 | Final Audit (Order: 88005),Defect Rate < 3%,Audit Station AS-05,09:00-18:00,Standard
QC2136,QC Inspector - Final QC,Batch-587 | Label Verification (Order: 20819),Defect Rate < 4%,Audit Station AS-05,07:00-15:00,Priority
QC2137,QC Manager - Trim QC,Batch-880 | Packaging Inspection (Order: 27088),Inspection Quota 173 pieces,Light Box LB-08,09:00-18:00,Standard
QC2138,QC Manager - Pre-Production QC,Batch-730 | Fabric Defect Check (Order: 83553),Inspection Quota 112 pieces,Inspection Booth IB-05,09:00-18:00,Standard
QC2139,QC Manager - Fabric QC,Batch-787 | Measurement Check (Order: 24749),Throughput Target 47 pieces/hour,Wash Test WT-06,15:00-23:00,Standard
QC2140,Senior QC - Fabric QC,Batch-124 | Embroidery Quality (Order: 95905),Accuracy Target 98%,Wash Test WT-10,09:00-18:00,Routine
QC2141,QC Inspector - Packing QC,Batch-937 | Final Audit (Order: 15882),Inspection Quota 101 pieces,Wash Test WT-03,07:00-15:00,Standard
QC2142,QC Trainee - Inline QC,Batch-251 | Fabric Defect Check (Order: 91396),Accuracy Target 95%,Wash Test WT-12,07:00-15:00,Standard
QC2143,QC Supervisor - Fabric QC,Batch-439 | Final Audit (Order: 12981),Inspection Quota 187 pieces,Light Box LB-04,10:00-19:00,Standard
QC2144,Senior QC - Packing QC,Batch-737 | Trim Quality Check (Order: 73311),Inspection Quota 54 pieces,Audit Station AS-10,10:00-19:00,Routine
QC2145,Senior QC - Inline QC,Batch-390 | Color Matching (Order: 17878),Inspection Quota 119 pieces,QC Table QT-08,07:00-15:00,Urgent
QC2146,QC Supervisor - Inline QC,Batch-778 | Print Quality Check (Order: 45561),Accuracy Target 95%,QC Table QT-05,09:00-18:00,Priority
QC2147,QC Supervisor - Final QC,Batch-423 | Trim Quality Check (Order: 23055),Throughput Target 75 pieces/hour,Inspection Booth IB-03,15:00-23:00,Priority
QC2148,QC Supervisor - Packing QC,Batch-140 | Trim Quality Check (Order: 12816),Inspection Quota 185 pieces,Fabric Testing FT-06,09:00-18:00,Priority
QC2149,QC Inspector - Trim QC,Batch-800 | Seam Quality Check (Order: 55453),Accuracy Target 99%,Fabric Testing FT-04,10:00-19:00,Standard
QC2150,QC Trainee - Fabric QC,Batch-999 | Print Quality Check (Order: 43774),Throughput Target 76 pieces/hour,QC Table QT-09,08:00-17:00,Routine
QC2151,QC Inspector - Final QC,Batch-772 | Label Verification (Order: 61491),Inspection Quota 72 pieces,Audit Station AS-09,10:00-19:00,Priority
QC2152,QC Inspector - AQL Inspection,Batch-686 | Packaging Inspection (Order: 41504),Inspection Quota 159 pieces,Fabric Testing FT-15,10:00-19:00,Priority
QC2153,QC Supervisor - Fabric QC,Batch-311 | Trim Quality Check (Order: 27271),Inspection Quota 198 pieces,Light Box LB-14,15:00-23:00,Priority
QC2154,QC Manager - Fabric QC,Batch-540 | Appearance Check (Order: 27727),Inspection Quota 194 pieces,Measurement Station MS-06,07:00-15:00,Standard
QC2155,QC Manager - Packing QC,Batch-288 | Washing Test (Order: 25517),Accuracy Target 98%,QC Table QT-13,08:00-17:00,Routine
QC2156,QC Supervisor - Trim QC,Batch-863 | Button/Zipper Function (Order: 68065),Accuracy Target 98%,Light Box LB-02,15:00-23:00,Standard
QC2157,QC Trainee - Final QC,Batch-731 | Durability Test (Order: 90213),Accuracy Target 96%,Light Box LB-10,15:00-23:00,Standard
QC2158,QC Trainee - Final QC,Batch-804 | Label Verification (Order: 20417),Throughput Target 28 pieces/hour,Photo Studio PS-12,08:00-17:00,Priority
QC2159,QC Supervisor - Final QC,Batch-240 | Final Audit (Order: 72108),Inspection Quota 99 pieces,Light Box LB-01,09:00-18:00,Priority
QC2160,QC Trainee - AQL Inspection,Batch-522 | Appearance Check (Order: 45370),Inspection Quota 101 pieces,Light Box LB-02,15:00-23:00,Standard
QC2161,QC Manager - Trim QC,Batch-987 | Final Audit (Order: 52584),Throughput Target 76 pieces/hour,Light Box LB-07,09:00-18:00,Critical
QC2162,QC Trainee - AQL Inspection,Batch-837 | Embroidery Quality (Order: 59856),Accuracy Target 97%,QC Table QT-09,07:00-15:00,Priority
QC2163,QC Supervisor - Trim QC,Batch-998 | Fit Check (Order: 15559),Inspection Quota 182 pieces,Audit Station AS-12,07:00-15:00,Standard
QC2164,QC Supervisor - Packing QC,Batch-150 | Trim Quality Check (Order: 92660),Inspection Quota 124 pieces,Photo Studio PS-07,08:00-17:00,Routine
QC2165,Senior QC - AQL Inspection,Batch-532 | Final Audit (Order: 31821),Accuracy Target 96%,QC Table QT-12,10:00-19:00,Standard
