Inspector_ID,QC_Department,Inspection_Type_Order,Quality_Target,Workstation_Assignment,Shift_Time,Urgency_Level
QC2166,QC Supervisor - Final QC,Batch-562 | Fit Check (Order: 94685),Defect Rate < 4%,Inspection Booth IB-03,10:00-19:00,Standard
QC2167,QC Manager - Pre-Production QC,Batch-523 | Color Matching (Order: 61520),Accuracy Target 97%,QC Table QT-03,09:00-18:00,Standard
QC2168,QC Inspector - Packing QC,Batch-192 | Appearance Check (Order: 69596),Accuracy Target 99%,Measurement Station MS-12,07:00-15:00,Standard
QC2169,QC Trainee - Inline QC,Batch-749 | Washing Test (Order: 68903),Accuracy Target 95%,Audit Station AS-12,10:00-19:00,Standard
QC2170,QC Inspector - Packing QC,Batch-489 | Packaging Inspection (Order: 82134),Defect Rate < 3%,Wash Test WT-10,15:00-23:00,Standard
QC2171,QC Inspector - Final QC,Batch-529 | Color Matching (Order: 16725),Accuracy Target 99%,Photo Studio PS-05,15:00-23:00,Urgent
QC2172,QC Inspector - Inline QC,Batch-737 | Fabric Defect Check (Order: 10463),Accuracy Target 95%,Photo Studio PS-08,09:00-18:00,Routine
QC2173,QC Trainee - Packing QC,Batch-343 | Embroidery Quality (Order: 74679),Inspection Quota 200 pieces,Photo Studio PS-08,09:00-18:00,Priority
QC2174,QC Trainee - Trim QC,Batch-106 | Embroidery Quality (Order: 88656),Inspection Quota 190 pieces,Fabric Testing FT-10,10:00-19:00,Standard
QC2175,QC Inspector - AQL Inspection,Batch-251 | Seam Quality Check (Order: 34227),Defect Rate < 1.5%,QC Table QT-03,07:00-15:00,Critical
QC2176,QC Manager - Pre-Production QC,Batch-405 | Fit Check (Order: 89073),Accuracy Target 95%,QC Table QT-02,09:00-18:00,Routine
QC2177,QC Inspector - Final QC,Batch-725 | Print Quality Check (Order: 47274),Inspection Quota 166 pieces,Wash Test WT-15,07:00-15:00,Standard
QC2178,Senior QC - Inline QC,Batch-488 | Label Verification (Order: 58309),Defect Rate < 2.5%,Inspection Booth IB-05,09:00-18:00,Critical
QC2179,QC Trainee - Final QC,Batch-437 | Washing Test (Order: 45968),Throughput Target 53 pieces/hour,Light Box LB-12,15:00-23:00,Urgent
QC2180,QC Trainee - Packing QC,Batch-847 | Measurement Check (Order: 84890),Defect Rate < 2.5%,Fabric Testing FT-07,10:00-19:00,Urgent
QC2181,Senior QC - AQL Inspection,Batch-688 | Button/Zipper Function (Order: 78864),Accuracy Target 98%,Photo Studio PS-09,09:00-18:00,Standard
QC2182,QC Inspector - Trim QC,Batch-338 | Appearance Check (Order: 89876),Accuracy Target 98%,QC Table QT-02,07:00-15:00,Standard
QC2183,QC Trainee - Trim QC,Batch-918 | Washing Test (Order: 37175),Throughput Target 46 pieces/hour,QC Table QT-06,08:00-17:00,Priority
QC2184,QC Inspector - Packing QC,Batch-306 | Seam Quality Check (Order: 93967),Accuracy Target 99%,Inspection Booth IB-05,08:00-17:00,Urgent
QC2185,QC Manager - Packing QC,Batch-216 | Label Verification (Order: 10803),Accuracy Target 99%,Audit Station AS-12,10:00-19:00,Priority
QC2186,QC Trainee - Packing QC,Batch-298 | Fit Check (Order: 33020),Accuracy Target 99%,Photo Studio PS-15,09:00-18:00,Priority
QC2187,QC Trainee - AQL Inspection,Batch-593 | Print Quality Check (Order: 27793),Inspection Quota 167 pieces,Wash Test WT-08,09:00-18:00,Standard
QC2188,QC Trainee - Pre-Production QC,Batch-406 | Fit Check (Order: 78298),Accuracy Target 96%,QC Table QT-04,10:00-19:00,Priority
QC2189,Senior QC - Pre-Production QC,Batch-167 | Durability Test (Order: 56346),Inspection Quota 121 pieces,QC Table QT-06,09:00-18:00,Standard
QC2190,QC Manager - Pre-Production QC,Batch-684 | Fit Check (Order: 31753),Throughput Target 31 pieces/hour,Inspection Booth IB-14,08:00-17:00,Standard
QC2191,Senior QC - Pre-Production QC,Batch-378 | Washing Test (Order: 14145),Throughput Target 25 pieces/hour,Photo Studio PS-15,15:00-23:00,Standard
QC2192,QC Supervisor - Fabric QC,Batch-321 | Fit Check (Order: 49666),Accuracy Target 98%,Inspection Booth IB-06,07:00-15:00,Priority
QC2193,QC Inspector - AQL Inspection,Batch-554 | Appearance Check (Order: 22137),Defect Rate < 2.5%,Measurement Station MS-04,08:00-17:00,Standard
QC2194,QC Manager - Trim QC,Batch-246 | Button/Zipper Function (Order: 52904),Defect Rate < 4%,Measurement Station MS-04,07:00-15:00,Routine
QC2195,QC Supervisor - Trim QC,Batch-218 | Washing Test (Order: 78464),Defect Rate < 1.5%,QC Table QT-11,10:00-19:00,Priority
QC2196,QC Trainee - AQL Inspection,Batch-147 | Label Verification (Order: 71194),Defect Rate < 4%,Fabric Testing FT-01,10:00-19:00,Standard
QC2197,Senior QC - AQL Inspection,Batch-428 | Print Quality Check (Order: 37504),Inspection Quota 99 pieces,Fabric Testing FT-05,10:00-19:00,Priority
QC2198,QC Supervisor - Fabric QC,Batch-379 | Print Quality Check (Order: 25420),Inspection Quota 90 pieces,Fabric Testing FT-02,07:00-15:00,Standard
QC2199,QC Manager - Packing QC,Batch-311 | Trim Quality Check (Order: 23418),Accuracy Target 96%,Wash Test WT-05,15:00-23:00,Standard
QC2200,Senior QC - Pre-Production QC,Batch-275 | Embroidery Quality (Order: 42089),Defect Rate < 1.5%,Wash Test WT-09,09:00-18:00,Priority
QC2201,QC Inspector - Inline QC,Batch-791 | Seam Quality Check (Order: 71700),Defect Rate < 2%,Audit Station AS-01,07:00-15:00,Routine
QC2202,QC Supervisor - Trim QC,Batch-706 | Color Matching (Order: 88134),Throughput Target 59 pieces/hour,Wash Test WT-05,08:00-17:00,Standard
QC2203,QC Inspector - AQL Inspection,Batch-928 | Washing Test (Order: 97932),Defect Rate < 2.5%,Measurement Station MS-02,09:00-18:00,Routine
QC2204,QC Supervisor - Inline QC,Batch-759 | Button/Zipper Function (Order: 99715),Throughput Target 50 pieces/hour,Light Box LB-04,15:00-23:00,Routine
QC2205,QC Manager - AQL Inspection,Batch-501 | Button/Zipper Function (Order: 57638),Inspection Quota 134 pieces,Wash Test WT-08,09:00-18:00,Critical
QC2206,QC Trainee - Inline QC,Batch-459 | Final Audit (Order: 24796),Throughput Target 49 pieces/hour,Measurement Station MS-05,08:00-17:00,Standard
QC2207,QC Manager - Packing QC,Batch-205 | Color Matching (Order: 76577),Throughput Target 72 pieces/hour,Inspection Booth IB-06,10:00-19:00,Urgent
QC2208,QC Trainee - Pre-Production QC,Batch-645 | Durability Test (Order: 49599),Throughput Target 45 pieces/hour,Audit Station AS-04,10:00-19:00,Standard
QC2209,QC Manager - Final QC,Batch-493 | Color Matching (Order: 73225),Defect Rate < 1.5%,Light Box LB-14,10:00-19:00,Priority
QC2210,QC Supervisor - Trim QC,Batch-657 | Embroidery Quality (Order: 54852),Inspection Quota 94 pieces,Inspection Booth IB-12,10:00-19:00,Priority
QC2211,QC Supervisor - AQL Inspection,Batch-710 | Measurement Check (Order: 87616),Throughput Target 40 pieces/hour,Inspection Booth IB-14,09:00-18:00,Priority
QC2212,Senior QC - Final QC,Batch-712 | Packaging Inspection (Order: 19123),Defect Rate < 4%,Audit Station AS-06,09:00-18:00,Standard
QC2213,QC Trainee - Pre-Production QC,Batch-936 | Measurement Check (Order: 38522),Inspection Quota 198 pieces,QC Table QT-13,15:00-23:00,Standard
QC2214,QC Inspector - Pre-Production QC,Batch-398 | Final Audit (Order: 79632),Throughput Target 59 pieces/hour,Photo Studio PS-04,15:00-23:00,Standard
QC2215,Senior QC - Pre-Production QC,Batch-913 | Button/Zipper Function (Order: 84747),Accuracy Target 97%,Wash Test WT-02,10:00-19:00,Urgent
QC2216,QC Manager - Inline QC,Batch-967 | Trim Quality Check (Order: 62978),Inspection Quota 125 pieces,QC Table QT-06,10:00-19:00,Urgent
QC2217,QC Trainee - Inline QC,Batch-940 | Washing Test (Order: 83404),Accuracy Target 95%,Fabric Testing FT-14,07:00-15:00,Critical
QC2218,QC Supervisor - Final QC,Batch-503 | Washing Test (Order: 87353),Accuracy Target 97%,Audit Station AS-07,09:00-18:00,Routine
QC2219,QC Inspector - Packing QC,Batch-586 | Print Quality Check (Order: 32729),Inspection Quota 98 pieces,Audit Station AS-14,08:00-17:00,Priority
QC2220,QC Supervisor - AQL Inspection,Batch-993 | Color Matching (Order: 47810),Inspection Quota 84 pieces,QC Table QT-02,07:00-15:00,Urgent
QC2221,QC Supervisor - Final QC,Batch-239 | Print Quality Check (Order: 67243),Defect Rate < 3%,Audit Station AS-14,09:00-18:00,Standard
QC2222,QC Manager - AQL Inspection,Batch-738 | Appearance Check (Order: 65797),Inspection Quota 166 pieces,Audit Station AS-09,09:00-18:00,Routine
QC2223,Senior QC - Trim QC,Batch-534 | Fabric Defect Check (Order: 34352),Defect Rate < 4%,Photo Studio PS-14,15:00-23:00,Priority
QC2224,QC Manager - Pre-Production QC,Batch-659 | Button/Zipper Function (Order: 63849),Accuracy Target 95%,QC Table QT-10,09:00-18:00,Priority
QC2225,Senior QC - Pre-Production QC,Batch-593 | Measurement Check (Order: 86056),Defect Rate < 3%,Fabric Testing FT-08,10:00-19:00,Urgent
QC2226,QC Manager - Inline QC,Batch-190 | Appearance Check (Order: 89963),Inspection Quota 170 pieces,Inspection Booth IB-11,10:00-19:00,Routine
QC2227,QC Manager - AQL Inspection,Batch-154 | Button/Zipper Function (Order: 90352),Accuracy Target 96%,QC Table QT-08,09:00-18:00,Priority
QC2228,QC Supervisor - Packing QC,Batch-531 | Embroidery Quality (Order: 53452),Accuracy Target 99%,Fabric Testing FT-03,07:00-15:00,Standard
QC2229,QC Manager - Pre-Production QC,Batch-844 | Washing Test (Order: 49855),Accuracy Target 95%,Photo Studio PS-10,15:00-23:00,Standard
QC2230,QC Trainee - Packing QC,Batch-928 | Print Quality Check (Order: 48240),Defect Rate < 1.5%,Photo Studio PS-02,15:00-23:00,Standard
QC2231,QC Trainee - Packing QC,Batch-358 | Fit Check (Order: 46418),Inspection Quota 121 pieces,Fabric Testing FT-14,08:00-17:00,Urgent
QC2232,QC Trainee - Inline QC,Batch-705 | Embroidery Quality (Order: 32886),Inspection Quota 164 pieces,Wash Test WT-13,15:00-23:00,Priority
QC2233,QC Inspector - Fabric QC,Batch-918 | Final Audit (Order: 33699),Defect Rate < 1.5%,Inspection Booth IB-03,10:00-19:00,Priority
QC2234,QC Inspector - AQL Inspection,Batch-870 | Fit Check (Order: 75004),Throughput Target 69 pieces/hour,Audit Station AS-04,09:00-18:00,Standard
QC2235,QC Inspector - Pre-Production QC,Batch-851 | Fabric Defect Check (Order: 85727),Accuracy Target 95%,Fabric Testing FT-13,07:00-15:00,Urgent
QC2236,QC Inspector - Inline QC,Batch-587 | Final Audit (Order: 62264),Accuracy Target 97%,Light Box LB-07,09:00-18:00,Standard
QC2237,Senior QC - Trim QC,Batch-991 | Color Matching (Order: 79526),Throughput Target 20 pieces/hour,Fabric Testing FT-15,09:00-18:00,Urgent
QC2238,Senior QC - Trim QC,Batch-142 | Trim Quality Check (Order: 99505),Defect Rate < 4%,Wash Test WT-14,09:00-18:00,Standard
QC2239,Senior QC - Packing QC,Batch-373 | Label Verification (Order: 45432),Defect Rate < 1.5%,Audit Station AS-08,15:00-23:00,Standard
QC2240,QC Manager - Pre-Production QC,Batch-632 | Durability Test (Order: 35549),Accuracy Target 98%,Wash Test WT-09,07:00-15:00,Standard
QC2241,QC Trainee - Pre-Production QC,Batch-112 | Fit Check (Order: 18906),Throughput Target 26 pieces/hour,Inspection Booth IB-11,09:00-18:00,Standard
QC2242,QC Inspector - Fabric QC,Batch-357 | Washing Test (Order: 47132),Inspection Quota 58 pieces,QC Table QT-10,07:00-15:00,Priority
QC2243,QC Manager - Inline QC,Batch-713 | Print Quality Check (Order: 38419),Defect Rate < 2%,Inspection Booth IB-14,10:00-19:00,Priority
QC2244,QC Supervisor - Final QC,Batch-679 | Print Quality Check (Order: 94922),Inspection Quota 78 pieces,Measurement Station MS-05,08:00-17:00,Standard
QC2245,QC Trainee - Trim QC,Batch-383 | Print Quality Check (Order: 69433),Throughput Target 64 pieces/hour,Wash Test WT-05,15:00-23:00,Urgent
QC2246,QC Trainee - AQL Inspection,Batch-491 | Button/Zipper Function (Order: 18177),Throughput Target 41 pieces/hour,QC Table QT-05,08:00-17:00,Standard
QC2247,QC Supervisor - Final QC,Batch-305 | Measurement Check (Order: 74450),Throughput Target 31 pieces/hour,Photo Studio PS-02,15:00-23:00,Priority
QC2248,QC Supervisor - Packing QC,Batch-758 | Fabric Defect Check (Order: 90473),Defect Rate < 2.5%,Fabric Testing FT-02,07:00-15:00,Urgent
QC2249,QC Trainee - Inline QC,Batch-895 | Embroidery Quality (Order: 42846),Throughput Target 21 pieces/hour,Photo Studio PS-03,07:00-15:00,Priority
QC2250,QC Supervisor - Inline QC,Batch-816 | Button/Zipper Function (Order: 29871),Accuracy Target 97%,QC Table QT-09,09:00-18:00,Routine
QC2251,QC Supervisor - Trim QC,Batch-653 | Packaging Inspection (Order: 19188),Inspection Quota 50 pieces,Audit Station AS-12,09:00-18:00,Urgent
QC2252,QC Manager - Inline QC,Batch-441 | Trim Quality Check (Order: 57044),Accuracy Target 97%,QC Table QT-11,07:00-15:00,Priority
QC2253,QC Manager - Fabric QC,Batch-182 | Fit Check (Order: 54572),Throughput Target 68 pieces/hour,Fabric Testing FT-11,15:00-23:00,Standard
QC2254,QC Manager - Final QC,Batch-776 | Seam Quality Check (Order: 60353),Inspection Quota 126 pieces,Audit Station AS-15,07:00-15:00,Routine
QC2255,Senior QC - Pre-Production QC,Batch-747 | Final Audit (Order: 21123),Throughput Target 67 pieces/hour,Light Box LB-03,07:00-15:00,Priority
QC2256,QC Trainee - Final QC,Batch-344 | Washing Test (Order: 87718),Throughput Target 44 pieces/hour,Inspection Booth IB-13,10:00-19:00,Priority
QC2257,Senior QC - Pre-Production QC,Batch-954 | Final Audit (Order: 79984),Throughput Target 21 pieces/hour,QC Table QT-06,07:00-15:00,Priority
QC2258,QC Trainee - Fabric QC,Batch-316 | Packaging Inspection (Order: 25491),Throughput Target 80 pieces/hour,Measurement Station MS-12,10:00-19:00,Urgent
QC2259,QC Trainee - Final QC,Batch-600 | Seam Quality Check (Order: 28558),Defect Rate < 2.5%,QC Table QT-04,15:00-23:00,Priority
QC2260,QC Inspector - Inline QC,Batch-414 | Print Quality Check (Order: 16548),Defect Rate < 2.5%,Measurement Station MS-14,10:00-19:00,Standard
QC2261,QC Trainee - Inline QC,Batch-709 | Measurement Check (Order: 75161),Inspection Quota 66 pieces,Light Box LB-07,08:00-17:00,Standard
QC2262,QC Supervisor - AQL Inspection,Batch-800 | Label Verification (Order: 25833),Inspection Quota 132 pieces,Light Box LB-13,07:00-15:00,Standard
QC2263,QC Inspector - Packing QC,Batch-223 | Label Verification (Order: 18286),Accuracy Target 98%,Audit Station AS-03,08:00-17:00,Priority
QC2264,QC Inspector - Packing QC,Batch-695 | Final Audit (Order: 41934),Defect Rate < 3%,Inspection Booth IB-13,10:00-19:00,Routine
QC2265,QC Inspector - Trim QC,Batch-182 | Seam Quality Check (Order: 73827),Defect Rate < 2%,Measurement Station MS-15,07:00-15:00,Priority
QC2266,QC Manager - Pre-Production QC,Batch-526 | Appearance Check (Order: 47189),Throughput Target 64 pieces/hour,Measurement Station MS-04,15:00-23:00,Priority
QC2267,Senior QC - Pre-Production QC,Batch-521 | Trim Quality Check (Order: 69037),Inspection Quota 94 pieces,QC Table QT-10,15:00-23:00,Urgent
QC2268,QC Supervisor - Pre-Production QC,Batch-742 | Embroidery Quality (Order: 21537),Accuracy Target 99%,Audit Station AS-01,10:00-19:00,Standard
QC2269,QC Inspector - Final QC,Batch-197 | Measurement Check (Order: 79494),Accuracy Target 96%,Light Box LB-08,15:00-23:00,Urgent
QC2270,QC Trainee - Fabric QC,Batch-915 | Fabric Defect Check (Order: 24769),Inspection Quota 171 pieces,Photo Studio PS-03,15:00-23:00,Routine
QC2271,QC Trainee - Pre-Production QC,Batch-472 | Seam Quality Check (Order: 94523),Accuracy Target 98%,Audit Station AS-05,08:00-17:00,Urgent
QC2272,QC Supervisor - Packing QC,Batch-858 | Seam Quality Check (Order: 23686),Defect Rate < 4%,Measurement Station MS-03,07:00-15:00,Routine
QC2273,QC Manager - Trim QC,Batch-340 | Measurement Check (Order: 19287),Throughput Target 57 pieces/hour,Wash Test WT-07,15:00-23:00,Standard
QC2274,Senior QC - Pre-Production QC,Batch-433 | Fabric Defect Check (Order: 24435),Inspection Quota 75 pieces,Light Box LB-12,09:00-18:00,Priority
QC2275,QC Inspector - AQL Inspection,Batch-175 | Packaging Inspection (Order: 38922),Throughput Target 57 pieces/hour,Photo Studio PS-01,09:00-18:00,Routine
QC2276,QC Inspector - Final QC,Batch-565 | Appearance Check (Order: 89879),Inspection Quota 149 pieces,Wash Test WT-03,09:00-18:00,Standard
QC2277,QC Inspector - Pre-Production QC,Batch-376 | Print Quality Check (Order: 57001),Inspection Quota 135 pieces,Measurement Station MS-01,10:00-19:00,Priority
QC2278,Senior QC - Inline QC,Batch-972 | Color Matching (Order: 24563),Throughput Target 49 pieces/hour,Audit Station AS-03,08:00-17:00,Priority
QC2279,Senior QC - Final QC,Batch-908 | Embroidery Quality (Order: 30550),Inspection Quota 197 pieces,Light Box LB-02,09:00-18:00,Priority
QC2280,QC Manager - AQL Inspection,Batch-705 | Final Audit (Order: 38369),Throughput Target 73 pieces/hour,Photo Studio PS-05,07:00-15:00,Priority
QC2281,QC Supervisor - Pre-Production QC,Batch-353 | Washing Test (Order: 42329),Accuracy Target 97%,Light Box LB-15,10:00-19:00,Priority
QC2282,QC Manager - Final QC,Batch-527 | Appearance Check (Order: 10665),Defect Rate < 2%,Photo Studio PS-12,10:00-19:00,Standard
QC2283,QC Supervisor - Inline QC,Batch-590 | Trim Quality Check (Order: 61684),Defect Rate < 2.5%,Photo Studio PS-04,07:00-15:00,Standard
QC2284,QC Trainee - Packing QC,Batch-323 | Washing Test (Order: 63296),Inspection Quota 141 pieces,Fabric Testing FT-04,07:00-15:00,Standard
QC2285,QC Supervisor - Inline QC,Batch-265 | Print Quality Check (Order: 49955),Throughput Target 74 pieces/hour,QC Table QT-08,09:00-18:00,Urgent
QC2286,QC Inspector - AQL Inspection,Batch-289 | Fit Check (Order: 63131),Accuracy Target 97%,QC Table QT-14,07:00-15:00,Priority
QC2287,Senior QC - Trim QC,Batch-403 | Trim Quality Check (Order: 14287),Throughput Target 68 pieces/hour,Fabric Testing FT-12,10:00-19:00,Standard
QC2288,QC Manager - Packing QC,Batch-906 | Durability Test (Order: 37151),Defect Rate < 4%,Wash Test WT-12,07:00-15:00,Standard
QC2289,Senior QC - Packing QC,Batch-213 | Appearance Check (Order: 16758),Throughput Target 43 pieces/hour,Photo Studio PS-10,07:00-15:00,Urgent
QC2290,Senior QC - Fabric QC,Batch-672 | Color Matching (Order: 94957),Defect Rate < 4%,Light Box LB-03,08:00-17:00,Standard
QC2291,QC Manager - Final QC,Batch-589 | Measurement Check (Order: 95070),Inspection Quota 107 pieces,Wash Test WT-06,08:00-17:00,Priority
QC2292,QC Supervisor - Packing QC,Batch-164 | Button/Zipper Function (Order: 17138),Accuracy Target 99%,Photo Studio PS-08,10:00-19:00,Priority
QC2293,QC Trainee - Packing QC,Batch-794 | Final Audit (Order: 79717),Accuracy Target 97%,Wash Test WT-13,07:00-15:00,Priority
QC2294,QC Supervisor - Final QC,Batch-500 | Measurement Check (Order: 20508),Inspection Quota 123 pieces,Inspection Booth IB-02,15:00-23:00,Routine
QC2295,QC Trainee - Fabric QC,Batch-608 | Washing Test (Order: 29392),Inspection Quota 102 pieces,QC Table QT-05,09:00-18:00,Urgent
QC2296,QC Manager - Pre-Production QC,Batch-585 | Appearance Check (Order: 27305),Accuracy Target 97%,Photo Studio PS-12,07:00-15:00,Urgent
QC2297,QC Inspector - Fabric QC,Batch-992 | Measurement Check (Order: 12888),Inspection Quota 183 pieces,Wash Test WT-07,10:00-19:00,Priority
QC2298,Senior QC - Fabric QC,Batch-781 | Final Audit (Order: 87772),Throughput Target 49 pieces/hour,Fabric Testing FT-10,15:00-23:00,Priority
QC2299,Senior QC - AQL Inspection,Batch-332 | Color Matching (Order: 44079),Throughput Target 43 pieces/hour,Fabric Testing FT-13,07:00-15:00,Urgent
QC2300,Senior QC - Final QC,Batch-270 | Button/Zipper Function (Order: 69759),Inspection Quota 187 pieces,Fabric Testing FT-03,15:00-23:00,Priority
QC2301,QC Inspector - AQL Inspection,Batch-219 | Color Matching (Order: 41182),Defect Rate < 1.5%,Measurement Station MS-08,08:00-17:00,Standard
QC2302,QC Inspector - Fabric QC,Batch-824 | Fabric Defect Check (Order: 83726),Defect Rate < 1.5%,Wash Test WT-03,08:00-17:00,Priority
QC2303,QC Manager - Trim QC,Batch-408 | Color Matching (Order: 79945),Defect Rate < 2%,Audit Station AS-15,09:00-18:00,Priority
QC2304,QC Inspector - AQL Inspection,Batch-259 | Final Audit (Order: 51971),Defect Rate < 4%,Wash Test WT-11,08:00-17:00,Standard
QC2305,Senior QC - Trim QC,Batch-782 | Durability Test (Order: 85199),Inspection Quota 194 pieces,Photo Studio PS-06,07:00-15:00,Priority
QC2306,QC Supervisor - Pre-Production QC,Batch-242 | Appearance Check (Order: 15253),Defect Rate < 1.5%,QC Table QT-07,10:00-19:00,Urgent
QC2307,QC Inspector - AQL Inspection,Batch-194 | Final Audit (Order: 56844),Accuracy Target 95%,Light Box LB-10,10:00-19:00,Urgent
QC2308,Senior QC - Final QC,Batch-185 | Fabric Defect Check (Order: 12955),Throughput Target 63 pieces/hour,Inspection Booth IB-09,09:00-18:00,Standard
QC2309,QC Supervisor - Final QC,Batch-719 | Label Verification (Order: 89058),Defect Rate < 1.5%,Audit Station AS-03,09:00-18:00,Routine
QC2310,QC Supervisor - Fabric QC,Batch-391 | Label Verification (Order: 11597),Accuracy Target 99%,Fabric Testing FT-08,10:00-19:00,Critical
QC2311,QC Inspector - Inline QC,Batch-859 | Washing Test (Order: 68224),Throughput Target 71 pieces/hour,Photo Studio PS-05,15:00-23:00,Urgent
QC2312,QC Supervisor - AQL Inspection,Batch-242 | Washing Test (Order: 64289),Defect Rate < 3%,Light Box LB-05,09:00-18:00,Routine
QC2313,QC Manager - AQL Inspection,Batch-704 | Label Verification (Order: 18665),Throughput Target 25 pieces/hour,QC Table QT-07,08:00-17:00,Urgent
QC2314,QC Inspector - Trim QC,Batch-827 | Trim Quality Check (Order: 70570),Inspection Quota 101 pieces,Measurement Station MS-14,09:00-18:00,Urgent
QC2315,QC Manager - Fabric QC,Batch-942 | Final Audit (Order: 15535),Accuracy Target 96%,Fabric Testing FT-08,10:00-19:00,Priority
QC2316,QC Supervisor - Pre-Production QC,Batch-910 | Fabric Defect Check (Order: 13517),Defect Rate < 3%,Fabric Testing FT-05,09:00-18:00,Priority
QC2317,Senior QC - Inline QC,Batch-603 | Packaging Inspection (Order: 33510),Inspection Quota 57 pieces,Inspection Booth IB-13,08:00-17:00,Standard
QC2318,QC Trainee - Trim QC,Batch-695 | Embroidery Quality (Order: 57416),Throughput Target 56 pieces/hour,Audit Station AS-14,08:00-17:00,Routine
QC2319,QC Supervisor - Pre-Production QC,Batch-482 | Washing Test (Order: 25674),Defect Rate < 1.5%,Measurement Station MS-10,07:00-15:00,Standard
QC2320,Senior QC - Final QC,Batch-465 | Final Audit (Order: 27759),Inspection Quota 63 pieces,Fabric Testing FT-06,09:00-18:00,Urgent
QC2321,Senior QC - Pre-Production QC,Batch-398 | Seam Quality Check (Order: 47992),Defect Rate < 4%,Light Box LB-13,15:00-23:00,Routine
QC2322,QC Trainee - AQL Inspection,Batch-656 | Embroidery Quality (Order: 31906),Accuracy Target 99%,Fabric Testing FT-05,08:00-17:00,Standard
QC2323,QC Manager - Inline QC,Batch-943 | Embroidery Quality (Order: 56088),Inspection Quota 53 pieces,Measurement Station MS-09,08:00-17:00,Standard
QC2324,QC Supervisor - Fabric QC,Batch-266 | Packaging Inspection (Order: 54605),Defect Rate < 3%,Measurement Station MS-09,15:00-23:00,Priority
QC2325,QC Inspector - AQL Inspection,Batch-728 | Durability Test (Order: 83224),Defect Rate < 2.5%,Photo Studio PS-15,07:00-15:00,Urgent
QC2326,QC Inspector - Inline QC,Batch-591 | Appearance Check (Order: 12277),Accuracy Target 99%,Wash Test WT-03,09:00-18:00,Standard
QC2327,QC Manager - Packing QC,Batch-276 | Durability Test (Order: 54832),Accuracy Target 95%,Inspection Booth IB-04,15:00-23:00,Standard
QC2328,QC Inspector - AQL Inspection,Batch-414 | Washing Test (Order: 39697),Inspection Quota 103 pieces,Measurement Station MS-02,09:00-18:00,Priority
QC2329,QC Trainee - Pre-Production QC,Batch-893 | Measurement Check (Order: 12464),Throughput Target 68 pieces/hour,Audit Station AS-01,15:00-23:00,Standard
QC2330,QC Trainee - Inline QC,Batch-625 | Durability Test (Order: 96479),Defect Rate < 2.5%,Inspection Booth IB-15,08:00-17:00,Standard
QC2331,QC Trainee - Inline QC,Batch-110 | Button/Zipper Function (Order: 97501),Defect Rate < 2%,Light Box LB-10,15:00-23:00,Standard
QC2332,Senior QC - Final QC,Batch-249 | Seam Quality Check (Order: 21898),Accuracy Target 96%,Wash Test WT-06,15:00-23:00,Routine
